Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,1,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,2,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,3,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,4,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,5,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,6,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,7,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,8,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,9,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,10,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,5,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,7,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,2,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,7,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,48
Scenario1,2,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,40
Scenario1,3,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,51
Scenario1,4,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,57
Scenario1,5,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,41
Scenario1,6,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,38
Scenario1,7,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,41
Scenario1,8,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,46
Scenario1,9,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,48
Scenario1,10,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,48
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Collected_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
