Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Collected_Organics,UserSpecified,TallyValue,Observations,45.8,38,57,4.181812067,5.846176338
Scenario1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Collected_Recycle,UserSpecified,TallyValue,Observations,85.3,76,93,4.5994,6.429964576
Scenario1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,318.7,309,331,5.45856424,7.631076813
Scenario1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,2.7,0,7,1.350902054,1.888562063
Scenario1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,6,3,12,1.815872462,2.538591035
Scenario1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,19.7,12,27,3.860156002,5.396500924
Scenario1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Observations,1.9,1,4,0.711322177,0.994428926
Scenario1,Model,Model,Not_Collected_Recycle,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Recycle,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Recycle,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Recycle,UserSpecified,TallyValue,Observations,4.7,2,8,1.308141109,1.82878223
Scenario1,Model,Model,Not_Collected_Refuse,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Refuse,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Refuse,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Not_Collected_Refuse,UserSpecified,TallyValue,Observations,14.1,6,21,3.259687721,4.557045827
Scenario1,Model,Model,TotalCollected,UserSpecified,StateValue,Average,224.0339175,213.3742002,229.885147,3.718140977,5.197963815
Scenario1,Model,Model,TotalCollected,UserSpecified,StateValue,FinalValue,449.8,434,464,6.597392285,9.223159256
Scenario1,Model,Model,TotalCollected,UserSpecified,StateValue,Maximum,449.8,434,464,6.597392285,9.223159256
Scenario1,Model,Model,TotalCollected,UserSpecified,StateValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,TotalMissed,UserSpecified,StateValue,Average,13.88731275,9.797905532,19.00281546,2.033314549,2.842575232
Scenario1,Model,Model,TotalMissed,UserSpecified,StateValue,FinalValue,28.4,22,39,4.227782284,5.910442736
Scenario1,Model,Model,TotalMissed,UserSpecified,StateValue,Maximum,28.4,22,39,4.227782284,5.910442736
Scenario1,Model,Model,TotalMissed,UserSpecified,StateValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,TotalNotCollected,UserSpecified,StateValue,Average,9.919680191,7.495575221,12.0645607,1.231104944,1.721085615
Scenario1,Model,Model,TotalNotCollected,UserSpecified,StateValue,FinalValue,20.7,14,28,3.648144674,5.100108931
Scenario1,Model,Model,TotalNotCollected,UserSpecified,StateValue,Maximum,20.7,14,28,3.648144674,5.100108931
Scenario1,Model,Model,TotalNotCollected,UserSpecified,StateValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,TotalViolations,UserSpecified,StateValue,Average,24.31517579,22.13458187,28.55845414,1.597197696,2.232883551
Scenario1,Model,Model,TotalViolations,UserSpecified,StateValue,FinalValue,50.2,42,58,3.56539167,4.984420171
Scenario1,Model,Model,TotalViolations,UserSpecified,StateValue,Maximum,50.2,42,58,3.56539167,4.984420171
Scenario1,Model,Model,TotalViolations,UserSpecified,StateValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,Violation_Organics,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Violation_Organics,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Violation_Organics,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Violation_Organics,UserSpecified,TallyValue,Observations,5,4,7,0.674398102,0.942809042
Scenario1,Model,Model,Violation_Recycle,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Violation_Recycle,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Violation_Recycle,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Violation_Recycle,UserSpecified,TallyValue,Observations,10.5,7,13,1.440514977,2.013840996
Scenario1,Model,Model,Violation_Refuse,UserSpecified,TallyValue,Average,1,1,1,0,0
Scenario1,Model,Model,Violation_Refuse,UserSpecified,TallyValue,Maximum,1,1,1,0,0
Scenario1,Model,Model,Violation_Refuse,UserSpecified,TallyValue,Minimum,1,1,1,0,0
Scenario1,Model,Model,Violation_Refuse,UserSpecified,TallyValue,Observations,34.7,28,41,3.035727979,4.243949942
Scenario1,ModelEntity,Organics,[Population],Content,NumberInSystem,Average,6.312675335,3.942060318,9.580093666,1.207273882,1.687769773
Scenario1,ModelEntity,Organics,[Population],Content,NumberInSystem,Maximum,15.4,14,21,1.515521244,2.118699811
Scenario1,ModelEntity,Organics,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Average (Minutes),29.29836135,19.78136082,35.14527202,3.8400698,5.368420399
Scenario1,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Maximum (Minutes),85.10178535,54.01797954,136.1460827,18.2830237,25.55968055
Scenario1,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Minimum (Minutes),2.446806464,1.491834928,4.484101204,0.721321129,1.008407467
Scenario1,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Observations,47.6,41,59,4.307709628,6.022181222
Scenario1,ModelEntity,Organics,[Population],Throughput,NumberCreated,Total,59,45,73,5.994181445,8.37987006
Scenario1,ModelEntity,Organics,[Population],Throughput,NumberDestroyed,Total,47.6,41,59,4.307709628,6.022181222
Scenario1,ModelEntity,Recycle,[Population],Content,NumberInSystem,Average,13.01277732,9.770475714,17.20899381,1.695954562,2.370945722
Scenario1,ModelEntity,Recycle,[Population],Content,NumberInSystem,Maximum,29.9,20,43,5.473125984,7.651434143
Scenario1,ModelEntity,Recycle,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario2,ModelEntity,Organics,[Population],FlowTime,TimeInSystem,Average (Minutes),101.0602107,88.43631913,117.1176949,6.724674792,9.401100295
Scenario1,ModelEntity,Recycle,[Population],FlowTime,TimeInSystem,Maximum (Minutes),142.6338607,71.42087845,214.8197924,31.64003059,44.23278599
Scenario1,ModelEntity,Recycle,[Population],FlowTime,TimeInSystem,Minimum (Minutes),1.733223898,1.259333941,2.277038238,0.28115279,0.393051806
Scenario1,ModelEntity,Recycle,[Population],FlowTime,TimeInSystem,Observations,89.7,81,99,4.549688732,6.360468187
